d/d 3671-144-7:	Documents and Settings	2004-08-19 23:04:05 (UTC)	2004-08-27 15:08:05 (UTC)	2004-08-19 23:04:05 (UTC)	2004-08-19 16:59:01 (UTC)	56	0	0
+ d/d 3673-144-7:	All Users	2004-08-19 22:33:37 (UTC)	2004-08-27 15:08:06 (UTC)	2004-08-19 22:33:37 (UTC)	2004-08-19 16:59:01 (UTC)	56	0	0
++ d/d 3707-144-7:	Application Data	2004-08-19 17:00:09 (UTC)	2004-08-27 15:16:47 (UTC)	2004-08-19 17:00:09 (UTC)	2004-08-19 16:59:29 (UTC)	56	0	0
+++ r/r 3800-128-1:	desktop.ini	2004-08-19 17:00:09 (UTC)	2004-08-27 15:29:43 (UTC)	2004-08-19 17:00:09 (UTC)	2004-08-19 17:00:09 (UTC)	62	0	0
+++ d/d 3708-144-7:	Microsoft	2004-08-20 15:25:44 (UTC)	2004-08-27 15:46:16 (UTC)	2004-08-20 15:25:44 (UTC)	2004-08-19 16:59:29 (UTC)	56	0	0
++++ d/d 3709-144-1:	Crypto	2004-08-19 16:59:30 (UTC)	2004-08-20 15:17:58 (UTC)	2004-08-19 16:59:30 (UTC)	2004-08-19 16:59:29 (UTC)	224	0	0
+++++ d/d 3712-144-1:	DSS	2004-08-19 16:59:30 (UTC)	2004-08-20 15:17:58 (UTC)	2004-08-19 16:59:30 (UTC)	2004-08-19 16:59:30 (UTC)	256	0	0
++++++ d/d 3713-144-1:	MachineKeys	2004-08-19 16:59:30 (UTC)	2004-08-20 15:17:58 (UTC)	2004-08-19 16:59:30 (UTC)	2004-08-19 16:59:30 (UTC)	48	0	0
+++++ d/d 3710-144-1:	RSA	2004-08-19 16:59:29 (UTC)	2004-08-20 15:17:58 (UTC)	2004-08-19 16:59:29 (UTC)	2004-08-19 16:59:29 (UTC)	256	0	0
++++++ d/d 3711-144-1:	MachineKeys	2004-08-19 16:59:29 (UTC)	2004-08-20 15:17:58 (UTC)	2004-08-19 16:59:29 (UTC)	2004-08-19 16:59:29 (UTC)	48	0	0
++++ d/d 10977-144-1:	Dr Watson	2004-08-20 15:25:48 (UTC)	2004-08-20 15:25:48 (UTC)	2004-08-20 15:25:48 (UTC)	2004-08-20 15:25:44 (UTC)	264	0	0
+++++ r/r 10979-128-3:	drwtsn32.log	2004-08-20 15:25:48 (UTC)	2004-08-20 15:25:48 (UTC)	2004-08-20 15:25:48 (UTC)	2004-08-20 15:25:45 (UTC)	37044	0	0
+++++ r/r 10980-128-3:	user.dmp	2004-08-20 15:25:48 (UTC)	2004-08-20 15:25:48 (UTC)	2004-08-20 15:25:48 (UTC)	2004-08-20 15:25:48 (UTC)	20023	0	0
++++ d/d 7325-144-1:	HTML Help	2004-08-19 22:40:20 (UTC)	2004-08-20 15:17:58 (UTC)	2004-08-19 22:40:20 (UTC)	2004-08-19 22:40:20 (UTC)	48	0	0
++++ d/d 7287-144-7:	Media Index	2004-08-19 23:04:34 (UTC)	2004-08-20 15:17:58 (UTC)	2004-08-19 23:04:34 (UTC)	2004-08-19 22:38:07 (UTC)	56	0	0
+++++ r/r 6074-128-5:	wmplibrary_v_0_12.db	2004-08-19 23:04:34 (UTC)	2004-08-19 23:04:34 (UTC)	2004-08-19 23:04:36 (UTC)	2004-08-19 22:38:17 (UTC)	245760	0	0
++++ d/d 4759-144-1:	Network	2004-08-19 22:20:09 (UTC)	2004-08-20 15:17:58 (UTC)	2004-08-19 22:20:09 (UTC)	2004-08-19 22:20:09 (UTC)	256	0	0
+++++ d/d 4762-144-1:	Connections	2004-08-19 22:20:09 (UTC)	2004-08-20 15:17:58 (UTC)	2004-08-19 22:20:09 (UTC)	2004-08-19 22:20:09 (UTC)	136	0	0
++++++ d/d 4763-144-1:	Pbk	2004-08-20 15:25:40 (UTC)	2004-08-27 15:42:46 (UTC)	2004-08-20 15:25:40 (UTC)	2004-08-19 22:20:09 (UTC)	392	0	0
+++++++ r/r 10982-128-1:	rasphone.pbk	2004-08-20 15:25:40 (UTC)	2004-08-20 15:25:40 (UTC)	2004-08-20 15:25:40 (UTC)	2004-08-20 15:25:40 (UTC)	0	0	0
+++++++ r/r 4765-128-4:	sharedaccess.ini	2001-07-21 19:24:30 (UTC)	2004-08-19 22:20:09 (UTC)	2004-08-19 22:20:09 (UTC)	2004-08-19 22:20:09 (UTC)	853	0	0
++++ d/d 5663-144-7:	User Account Pictures	2004-08-19 23:05:01 (UTC)	2004-08-27 15:46:16 (UTC)	2004-08-19 23:05:01 (UTC)	2004-08-19 22:29:35 (UTC)	56	0	0
+++++ d/d 5664-144-7:	Default Pictures	2004-08-19 22:29:39 (UTC)	2004-08-20 15:17:58 (UTC)	2004-08-19 22:29:39 (UTC)	2004-08-19 22:29:35 (UTC)	56	0	0
++++++ r/r 5665-128-4:	airplane.bmp	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:36 (UTC)	2004-08-19 22:29:36 (UTC)	2004-08-19 22:29:36 (UTC)	6968	0	0
++++++ r/r 5666-128-4:	astronaut.bmp	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:36 (UTC)	2004-08-19 22:29:36 (UTC)	2004-08-19 22:29:36 (UTC)	6968	0	0
++++++ r/r 5667-128-4:	ball.bmp	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:36 (UTC)	2004-08-19 22:29:36 (UTC)	2004-08-19 22:29:36 (UTC)	6968	0	0
++++++ r/r 5674-128-4:	beach.bmp	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:37 (UTC)	2004-08-19 22:29:37 (UTC)	2004-08-19 22:29:37 (UTC)	6968	0	0
++++++ r/r 5668-128-4:	butterfly.bmp	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:36 (UTC)	2004-08-19 22:29:36 (UTC)	2004-08-19 22:29:36 (UTC)	6968	0	0
++++++ r/r 5675-128-4:	car.bmp	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:37 (UTC)	2004-08-19 22:29:37 (UTC)	2004-08-19 22:29:37 (UTC)	6968	0	0
++++++ r/r 5669-128-4:	cat.bmp	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:36 (UTC)	2004-08-19 22:29:36 (UTC)	2004-08-19 22:29:36 (UTC)	6968	0	0
++++++ r/r 5676-128-4:	chess.bmp	2001-08-23 18:00:00 (UTC)	2004-08-19 23:05:01 (UTC)	2004-08-19 22:29:37 (UTC)	2004-08-19 22:29:37 (UTC)	6968	0	0
++++++ r/r 5677-128-4:	dirt bike.bmp	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:38 (UTC)	2004-08-19 22:29:38 (UTC)	2004-08-19 22:29:38 (UTC)	6968	0	0
++++++ r/r 5678-128-4:	dog.bmp	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:38 (UTC)	2004-08-19 22:29:38 (UTC)	2004-08-19 22:29:38 (UTC)	6968	0	0
++++++ r/r 5679-128-4:	drip.bmp	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:38 (UTC)	2004-08-19 22:29:38 (UTC)	2004-08-19 22:29:38 (UTC)	6968	0	0
++++++ r/r 5680-128-4:	duck.bmp	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:38 (UTC)	2004-08-19 22:29:38 (UTC)	2004-08-19 22:29:38 (UTC)	6968	0	0
++++++ r/r 5670-128-4:	fish.bmp	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:36 (UTC)	2004-08-19 22:29:36 (UTC)	2004-08-19 22:29:36 (UTC)	6968	0	0
++++++ r/r 5681-128-4:	frog.bmp	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:38 (UTC)	2004-08-19 22:29:38 (UTC)	2004-08-19 22:29:38 (UTC)	6968	0	0
++++++ r/r 5672-128-4:	guitar.bmp	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:37 (UTC)	2004-08-19 22:29:37 (UTC)	2004-08-19 22:29:37 (UTC)	6968	0	0
++++++ r/r 5682-128-4:	horses.bmp	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:38 (UTC)	2004-08-19 22:29:38 (UTC)	2004-08-19 22:29:38 (UTC)	6968	0	0
++++++ r/r 5683-128-4:	kick.bmp	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:38 (UTC)	2004-08-19 22:29:38 (UTC)	2004-08-19 22:29:38 (UTC)	6968	0	0
++++++ r/r 5684-128-4:	lift-off.bmp	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:38 (UTC)	2004-08-19 22:29:38 (UTC)	2004-08-19 22:29:38 (UTC)	6968	0	0
++++++ r/r 5685-128-4:	palm tree.bmp	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:39 (UTC)	2004-08-19 22:29:39 (UTC)	2004-08-19 22:29:39 (UTC)	6968	0	0
++++++ r/r 5671-128-4:	pink flower.bmp	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:36 (UTC)	2004-08-19 22:29:36 (UTC)	2004-08-19 22:29:36 (UTC)	6968	0	0
++++++ r/r 5686-128-4:	red flower.bmp	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:39 (UTC)	2004-08-19 22:29:39 (UTC)	2004-08-19 22:29:39 (UTC)	6968	0	0
++++++ r/r 5687-128-4:	skater.bmp	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:39 (UTC)	2004-08-19 22:29:39 (UTC)	2004-08-19 22:29:39 (UTC)	6968	0	0
++++++ r/r 5673-128-4:	snowflake.bmp	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:37 (UTC)	2004-08-19 22:29:37 (UTC)	2004-08-19 22:29:37 (UTC)	6968	0	0
+++++ r/r 5688-128-4:	guest.bmp	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:39 (UTC)	2004-08-19 22:29:39 (UTC)	2004-08-19 22:29:39 (UTC)	6968	0	0
+++++ r/r 9871-128-4:	Mr. Evil.bmp	2004-08-19 23:05:01 (UTC)	2004-08-19 23:05:01 (UTC)	2004-08-19 23:05:01 (UTC)	2004-08-19 23:05:01 (UTC)	6976	0	0
++ d/d 3793-144-1:	Desktop	2004-08-27 15:30:01 (UTC)	2004-08-27 15:43:15 (UTC)	2004-08-27 15:30:01 (UTC)	2004-08-19 17:00:09 (UTC)	48	0	0
++ d/d 3803-144-7:	Documents	2004-08-19 22:28:36 (UTC)	2004-08-27 15:08:06 (UTC)	2004-08-19 22:28:36 (UTC)	2004-08-19 17:00:09 (UTC)	56	0	0
+++ r/r 3804-128-1:	desktop.ini	2004-08-19 17:00:09 (UTC)	2004-08-27 15:29:44 (UTC)	2004-08-19 17:00:09 (UTC)	2004-08-19 17:00:09 (UTC)	62	0	0
+++ d/d 5515-144-7:	My Music	2004-08-19 22:38:16 (UTC)	2004-08-20 15:17:58 (UTC)	2004-08-19 22:38:16 (UTC)	2004-08-19 22:28:36 (UTC)	56	0	0
++++ r/r 5516-128-1:	Desktop.ini	2004-08-19 22:32:26 (UTC)	2004-08-27 15:29:44 (UTC)	2004-08-19 22:32:26 (UTC)	2004-08-19 22:28:36 (UTC)	151	0	0
++++ r/r 7295-128-4:	music.asx	2001-08-23 18:00:00 (UTC)	2004-08-19 22:38:18 (UTC)	2004-08-19 22:30:54 (UTC)	2004-08-19 22:38:16 (UTC)	768	0	0
++++ r/r 7294-128-4:	music.bmp	2001-08-23 18:00:00 (UTC)	2004-08-19 22:38:16 (UTC)	2004-08-19 22:30:54 (UTC)	2004-08-19 22:38:16 (UTC)	18488	0	0
++++ r/r 7293-128-4:	music.wma	2001-08-23 18:00:00 (UTC)	2004-08-19 22:38:16 (UTC)	2004-08-19 22:30:54 (UTC)	2004-08-19 22:38:15 (UTC)	3492199	0	0
++++ d/d 5723-144-7:	Sample Music	2004-08-19 22:32:26 (UTC)	2004-08-20 15:17:58 (UTC)	2004-08-19 23:04:15 (UTC)	2004-08-19 22:29:46 (UTC)	56	0	0
+++++ r/r 5724-128-4:	Beethoven's Symphony No. 9 (Scherzo).wma	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:46 (UTC)	2004-08-19 22:29:46 (UTC)	2004-08-19 22:29:46 (UTC)	613638	0	0
+++++ r/r 6317-128-1:	desktop.ini	2004-08-19 22:32:26 (UTC)	2004-08-19 23:04:51 (UTC)	2004-08-19 22:32:26 (UTC)	2004-08-19 22:32:26 (UTC)	70	0	0
+++++ r/r 5725-128-4:	New Stories (Highway Blues).wma	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:47 (UTC)	2004-08-19 22:29:47 (UTC)	2004-08-19 22:29:47 (UTC)	760748	0	0
+++ d/d 5510-144-1:	My Pictures	2004-08-19 22:29:45 (UTC)	2004-08-20 15:17:58 (UTC)	2004-08-19 22:29:45 (UTC)	2004-08-19 22:28:36 (UTC)	368	0	0
++++ r/r 5513-128-1:	Desktop.ini	2004-08-19 22:32:25 (UTC)	2004-08-27 15:29:43 (UTC)	2004-08-19 22:32:25 (UTC)	2004-08-19 22:28:36 (UTC)	150	0	0
++++ d/d 5718-144-7:	Sample Pictures	2004-08-19 22:32:26 (UTC)	2004-08-20 15:17:58 (UTC)	2004-08-19 23:04:15 (UTC)	2004-08-19 22:29:45 (UTC)	56	0	0
+++++ r/r 5719-128-4:	Blue hills.jpg	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:45 (UTC)	2004-08-19 22:29:45 (UTC)	2004-08-19 22:29:45 (UTC)	28521	0	0
+++++ r/r 6316-128-1:	desktop.ini	2004-08-19 22:32:26 (UTC)	2004-08-19 23:04:51 (UTC)	2004-08-19 22:32:26 (UTC)	2004-08-19 22:32:26 (UTC)	42	0	0
+++++ r/r 5720-128-4:	Sunset.jpg	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:45 (UTC)	2004-08-19 22:29:45 (UTC)	2004-08-19 22:29:45 (UTC)	71189	0	0
+++++ r/r 5721-128-4:	Water lilies.jpg	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:46 (UTC)	2004-08-19 22:29:46 (UTC)	2004-08-19 22:29:46 (UTC)	83794	0	0
+++++ r/r 5722-128-4:	Winter.jpg	2001-08-23 18:00:00 (UTC)	2004-08-19 22:29:46 (UTC)	2004-08-19 22:29:46 (UTC)	2004-08-19 22:29:46 (UTC)	105542	0	0
++ d/d 6334-144-1:	DRM	2004-08-19 22:37:57 (UTC)	2004-08-20 15:17:58 (UTC)	2004-08-19 22:38:12 (UTC)	2004-08-19 22:33:37 (UTC)	256	0	0
+++ r/r 7278-128-4:	drmv2.lic	2004-08-19 22:37:57 (UTC)	2004-08-19 22:38:12 (UTC)	2004-08-19 22:38:12 (UTC)	2004-08-19 22:37:57 (UTC)	1536	0	0
+++ r/r 7283-128-4:	drmv2.sst	2004-08-19 22:37:57 (UTC)	2004-08-19 22:37:57 (UTC)	2004-08-19 22:38:12 (UTC)	2004-08-19 22:37:57 (UTC)	1536	0	0
++ d/d 3802-144-1:	Favorites	2004-08-19 17:00:09 (UTC)	2004-08-20 15:17:58 (UTC)	2004-08-19 17:00:09 (UTC)	2004-08-19 17:00:09 (UTC)	48	0	0
++ d/d 3794-144-7:	Start Menu	2004-08-19 22:49:15 (UTC)	2004-08-27 15:08:06 (UTC)	2004-08-19 22:49:15 (UTC)	2004-08-19 17:00:09 (UTC)	56	0	0
+++ r/r 3795-128-1:	desktop.ini	2004-08-19 22:38:39 (UTC)	2004-08-27 15:29:43 (UTC)	2004-08-19 22:38:39 (UTC)	2004-08-19 17:00:09 (UTC)	214	0	0
+++ d/d 3796-144-6:	Programs	2004-08-20 15:12:42 (UTC)	2004-08-27 15:08:06 (UTC)	2004-08-20 15:12:42 (UTC)	2004-08-19 17:00:09 (UTC)	56	0	0
++++ d/d 4769-144-7:	Accessories	2004-08-19 22:32:07 (UTC)	2004-08-27 15:08:26 (UTC)	2004-08-19 22:32:07 (UTC)	2004-08-19 22:21:15 (UTC)	56	0	0
